subject,block,trial,mu1,mu2,choice,reward,RT
1,16,2,-10.797,-7.544,2,-8.861,0.000
1,16,3,-10.797,-7.544,2,-7.320,0.000
1,16,4,-10.797,-7.544,2,-9.503,0.000
1,16,5,-10.797,-7.544,2,-10.081,0.000
1,16,6,-10.797,-7.544,2,-6.040,0.000
1,16,7,-10.797,-7.544,2,-10.425,0.000
1,16,8,-10.797,-7.544,2,-7.374,0.000
1,16,9,-10.797,-7.544,2,-11.257,0.000
1,16,10,-10.797,-7.544,2,-5.797,0.000
1,17,1,-20.427,2.273,1,-20.139,0.000
1,17,2,-20.427,2.273,2,4.554,0.000
1,17,3,-20.427,2.273,2,-2.111,0.000
1,17,4,-20.427,2.273,2,0.247,0.000
1,17,5,-20.427,2.273,2,-2.583,0.000
1,17,6,-20.427,2.273,2,6.907,0.000
1,17,7,-20.427,2.273,2,-1.014,0.000
1,17,8,-20.427,2.273,2,4.180,0.000
1,17,9,-20.427,2.273,2,-3.724,0.000
1,17,10,-20.427,2.273,2,6.981,0.000
1,18,1,10.130,5.239,1,12.742,0.000
1,18,2,10.130,5.239,1,13.255,0.000
1,18,3,10.130,5.239,1,4.928,0.000
1,18,4,10.130,5.239,1,5.413,0.000
1,18,5,10.130,5.239,1,4.677,0.000
1,18,6,10.130,5.239,1,10.081,0.000
1,18,7,10.130,5.239,1,7.254,0.000
1,18,8,10.130,5.239,1,8.457,0.000
1,18,9,10.130,5.239,1,6.576,0.000
1,18,10,10.130,5.239,1,10.171,0.000
1,19,1,2.060,-5.803,1,2.715,0.000
1,19,2,2.060,-5.803,2,-5.783,0.000
1,19,3,2.060,-5.803,1,7.382,0.000
1,19,4,2.060,-5.803,1,-0.381,0.000
1,19,5,2.060,-5.803,1,-0.771,0.000
1,19,6,2.060,-5.803,1,-0.174,0.000
1,19,7,2.060,-5.803,1,-0.353,0.000
1,19,8,2.060,-5.803,1,-4.538,0.000
1,19,9,2.060,-5.803,1,2.502,0.000
1,19,10,2.060,-5.803,1,5.362,0.000
1,20,1,8.011,0.384,1,12.576,0.000
1,20,2,8.011,0.384,1,5.893,0.000
1,20,3,8.011,0.384,1,10.512,0.000
1,20,4,8.011,0.384,1,8.521,0.000
1,20,5,8.011,0.384,1,8.042,0.000
1,20,6,8.011,0.384,1,8.473,0.000
1,20,7,8.011,0.384,1,6.111,0.000
1,20,8,8.011,0.384,1,5.417,0.000
1,20,9,8.011,0.384,1,12.267,0.000
1,20,10,8.011,0.384,1,7.204,0.000
1,21,1,14.679,-0.474,1,11.458,0.000
1,21,2,14.679,-0.474,1,10.698,0.000
1,21,3,14.679,-0.474,1,17.818,0.000
1,21,4,14.679,-0.474,1,14.567,0.000
1,21,5,14.679,-0.474,1,18.971,0.000
1,21,6,14.679,-0.474,1,15.663,0.000
1,21,7,14.679,-0.474,1,12.379,0.000
1,21,8,14.679,-0.474,1,17.327,0.000
1,21,9,14.679,-0.474,1,12.545,0.000
1,21,10,14.679,-0.474,1,17.187,0.000
1,22,1,-0.506,2.737,1,-4.393,0.000
1,22,2,-0.506,2.737,2,3.097,0.000
1,22,3,-0.506,2.737,2,-3.525,0.000
1,22,4,-0.506,2.737,2,3.897,0.000
1,22,5,-0.506,2.737,2,1.501,0.000
1,22,6,-0.506,2.737,2,7.674,0.000
1,22,7,-0.506,2.737,2,4.635,0.000
